interaction_id,viewport,route,state,kind,identity,label,selector_hint,status,result,reason,disabled,touch_target_pass
ui-desktop-dashboard-route-4f24687d75ee,desktop,dashboard,default,route,dashboard,Navigate to dashboard,showView,tested,pass,requested=dashboard active=dashboard,False,True
ui-desktop-dashboard-input-d24190e68ea8,desktop,dashboard,default,input,incoming-search#1,incoming-search,#incoming-search,tested,pass,typed and restored without business mutation,False,True
ui-desktop-dashboard-button-b8d9b1d33fbb,desktop,dashboard,default,button,data-pdc-refresh-route=dashboard#1,Refresh Vehicle Locations,"{""data-pdc-operational-refresh"": """", ""data-pdc-refresh-route"": ""dashboard"", ""data-vehicle-locations-refresh"": """"}",tested,pass,safe display/navigation action activated,False,True
ui-desktop-dashboard-summary-baa653382fd0,desktop,dashboard,default,summary,Show STOPPAGES#1,Show STOPPAGES,{},tested,pass,opened and closed disclosure,False,True
ui-desktop-dashboard-summary-bb63753c2e23,desktop,dashboard,default,summary,"RFT
0#1","RFT
0",{},tested,blocked,control became unavailable before safe exercise,False,True
ui-desktop-dashboard-summary-b2a0413f1d1f,desktop,dashboard,default,summary,"QC
1#1","QC
1",{},tested,blocked,control became unavailable before safe exercise,False,True
ui-desktop-dashboard-summary-14ebcd2cdb0c,desktop,dashboard,default,summary,dom-10#1,,{},tested,pass,opened and closed disclosure,False,True
ui-desktop-dashboard-button-06a3368a9fda,desktop,dashboard,default,button,data-open-stock=13048501#1,SN 13048501,"{""data-open-stock"": ""13048501""}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,False
ui-desktop-dashboard-button-0b0bf6603914,desktop,dashboard,default,button,data-open-qc-vehicle=13048501#1,,"{""data-open-qc-vehicle"": ""13048501""}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,True
ui-desktop-dashboard-button-9dd685f02f15,desktop,dashboard,default,button,data-open-stock=13048501#2,,"{""data-open-stock"": ""13048501""}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,True
ui-desktop-dashboard-button-0a4bd3416883,desktop,dashboard,default,button,data-auth-operation-work=13048501#1,,"{""data-auth-operation-work"": ""13048501""}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,False
ui-desktop-dashboard-summary-348db321e9f4,desktop,dashboard,default,summary,"PIT
0#1","PIT
0",{},tested,blocked,control became unavailable before safe exercise,False,True
ui-desktop-dashboard-summary-c9c51febf7dc,desktop,dashboard,default,summary,"PMB
0#1","PMB
0",{},tested,blocked,control became unavailable before safe exercise,False,True
ui-desktop-dashboard-summary-8850bf36e671,desktop,dashboard,default,summary,"YARD HOLD
1#1","YARD HOLD
1",{},tested,blocked,control became unavailable before safe exercise,False,True
ui-desktop-dashboard-summary-6b1449a92256,desktop,dashboard,default,summary,dom-18#1,,{},tested,pass,opened and closed disclosure,False,True
ui-desktop-dashboard-button-3f7d0e37d6bd,desktop,dashboard,default,button,data-open-stock=U158318#1,SN U158318,"{""data-open-stock"": ""U158318""}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,False
ui-desktop-dashboard-button-45a16201cadd,desktop,dashboard,default,button,data-yh-transfer-pmb=U158318#1,Transfer Yard Hold vehicle to PMB,"{""data-yh-transfer-pmb"": ""U158318""}",blocked,blocked,"mutation, outbound, privileged, or destructive action forbidden in diagnostic lane",False,True
